Id,Label,timeset,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,componentnumber,eigencentrality,clustering,triangles
143632,143632,,447,3196161,2,0.850863,0.912362,13.165221,0.043839,0.043839,22,0,0.909324,0.958377,95532
179587,179587,,452,2976740,2,0.857595,0.916974,14.732915,0.044255,0.044255,22,0,0.91797,0.955242,97364
204505,204505,,483,4199738,2,0.90183,0.945572,23.284799,0.046908,0.046908,21,0,0.973124,0.935921,108944
195866,195866,,483,4200430,2,0.90183,0.945572,24.527004,0.046875,0.046875,21,0,0.97244,0.934589,108789
90842,90842,,494,6858617,2,0.918644,0.95572,31.473224,0.047637,0.047637,21,0,0.98833,0.922305,112310
204507,204507,,480,1785975,2,0.897351,0.942804,23.36007,0.04663,0.04663,3,0,0.967354,0.9365,107660
143084,143084,,500,6217009,2,0.928082,0.961255,43.627689,0.047879,0.047879,21,0,0.993453,0.909691,113484
74024,74024,,11,11,3,0.490054,0.5,0,0.000147,0.000147,14,0,0.00329,1,55
178908,178908,,412,1663405,2,0.806548,0.880074,6.663728,0.040623,0.040623,22,0,0.842519,0.974807,82533
74802,74802,,0,0,0,0,0,0,0,0,13,14,0,0,0
178887,178887,,456,4078190,3,0.861685,0.920357,18.676659,0.044466,0.044466,3,0,0.922473,0.944399,97972
178909,178909,,406,6548,2,0.79941,0.874539,20.62523,0.039336,0.039336,22,0,0.816058,0.939196,77216
178910,178910,,484,5104318,2,0.903333,0.946494,23.56526,0.04699,0.04699,21,0,0.974825,0.935262,109319
74039,74039,,11,11,3,0.490054,0.5,0,0.000147,0.000147,14,0,0.00329,1,55
204563,204563,,481,2330012,2,0.898839,0.943727,36.995672,0.04629,0.04629,21,0,0.960427,0.91904,106094
74043,74043,,367,265461,2,0.755927,0.838561,18.510074,0.035499,0.035499,3,0,0.736511,0.929915,62454
74044,74044,,440,2600814,2,0.841615,0.905904,9.326225,0.043317,0.043317,21,0,0.89843,0.968306,93519
133439,133439,,486,4681998,3,0.904841,0.948032,40.371892,0.046685,0.046685,3,0,0.968689,0.91638,108000
204512,204512,,484,4284803,2,0.903333,0.946494,36.537095,0.046576,0.046576,21,0,0.966346,0.919614,107490
74050,74050,,11,11,3,0.490054,0.5,0,0.000147,0.000147,14,0,0.00329,1,55
136811,136811,,487,5060813,2,0.907873,0.949262,25.644451,0.047194,0.047194,21,0,0.979069,0.931689,110257
74052,74052,,484,5103179,2,0.903333,0.946494,23.56526,0.04699,0.04699,21,0,0.974825,0.935262,109319
204513,204513,,460,5611372,2,0.86859,0.924354,17.321627,0.044909,0.044909,21,0,0.931565,0.949162,100203
207176,207176,,491,5517549,2,0.913997,0.952952,29.268501,0.047433,0.047433,21,0,0.984086,0.925733,111361
74057,74057,,491,2958564,2,0.913997,0.952952,70.176902,0.046702,0.046702,3,0,0.969188,0.899589,108216
74058,74058,,11,11,3,0.490054,0.5,0,0.000147,0.000147,14,0,0.00329,1,55
74060,74060,,460,3434062,3,0.8672,0.924047,43.144087,0.044205,0.044205,3,0,0.917281,0.919949,97119
74478,74478,,271,232243,3,0.663403,0.74877,0.458651,0.026816,0.026816,22,0,0.556129,0.996283,36449
74467,74467,,482,5344307,3,0.898839,0.944342,43.715148,0.04651,0.04651,21,0,0.964987,0.924457,107164
107283,107283,,57,57,3,0.515699,0.545203,0,0.004984,0.004984,3,0,0.103636,1,1596
204516,204516,,492,6554264,2,0.915541,0.953875,28.38534,0.047545,0.047545,21,0,0.986397,0.926308,111885
74075,74075,,274,359542,3,0.668311,0.75246,0.325121,0.027408,0.027408,22,0,0.568409,0.996471,37269
74076,74076,,11,11,3,0.490054,0.5,0,0.000147,0.000147,14,0,0.00329,1,55
160544,160544,,16,47,3,0.499079,0.509225,0,0.000612,0.000612,18,0,0.012958,1,120
204474,204474,,478,3080545,2,0.894389,0.940959,22.059939,0.046455,0.046455,3,0,0.963724,0.937335,106859
74079,74079,,389,1087780,3,0.778736,0.858549,3.901628,0.038444,0.038444,22,0,0.797302,0.983264,74203
146788,146788,,501,5364391,2,0.929674,0.962177,43.292227,0.047934,0.047934,21,0,0.994612,0.908088,113738
141372,141372,,16,47,3,0.499079,0.509225,0,0.000612,0.000612,18,0,0.012958,1,120
74090,74090,,346,4518,3,0.730458,0.817958,1.150694,0.034247,0.034247,22,0,0.71023,0.993332,59287
204519,204519,,494,6555597,2,0.918644,0.95572,31.473224,0.047637,0.047637,21,0,0.98833,0.922305,112310
204520,204520,,496,4371829,2,0.921769,0.957565,45.997857,0.047429,0.047429,22,0,0.984133,0.907372,111389
204521,204521,,471,2501554,2,0.884176,0.934502,29.457606,0.045601,0.045601,22,0,0.946054,0.931716,103127
178922,178922,,328,747043,3,0.715984,0.802276,28.459303,0.031031,0.031031,3,0,0.644113,0.902383,48393
204429,204429,,420,2235841,3,0.815038,0.887146,41.654676,0.040276,0.040276,3,0,0.835856,0.923935,81297
204395,204395,,483,2991732,2,0.90183,0.945572,24.980033,0.046846,0.046846,3,0,0.971856,0.933395,108650
178924,178924,,479,6549852,3,0.894389,0.941574,22.367222,0.046534,0.046534,21,0,0.965387,0.936784,107244
74305,74305,,493,3866752,2,0.91709,0.954797,39.19728,0.047319,0.047319,3,0,0.981807,0.914065,110856
74120,74120,,5,5,1,1,1,0,0,0,16,8,0.000114,1,10
205548,205548,,437,3118771,3,0.83642,0.902829,32.207954,0.04207,0.04207,3,0,0.872982,0.925587,88177
154178,154178,,480,5235080,2,0.897351,0.942804,22.651793,0.046649,0.046649,21,0,0.967749,0.937283,107750
178933,178933,,495,3900969,2,0.920204,0.956642,912.601962,0.046504,0.046504,21,0,0.965138,0.876923,107217
178925,178925,,278,231986,2,0.672457,0.756458,25.853626,0.025704,0.025704,3,0,0.533846,0.898761,34605
81297,81297,,447,4954497,2,0.850863,0.912362,11.500779,0.043907,0.043907,21,0,0.910693,0.962601,95953
204566,204566,,502,5362946,2,0.931271,0.9631,61.098574,0.047905,0.047905,21,0,0.994028,0.90338,113601
74517,74517,,0,0,0,0,0,0,0,0,15,15,0,0,0
204526,204526,,493,6556018,2,0.91709,0.954797,29.61007,0.047596,0.047596,21,0,0.987462,0.924504,112122
206231,206231,,477,3348237,2,0.892916,0.940037,55.252901,0.045538,0.045538,3,0,0.945008,0.907255,102997
132504,132504,,421,1922033,2,0.817496,0.888376,38.577369,0.040302,0.040302,3,0,0.836455,0.922271,81538
74308,74308,,11,11,3,0.490054,0.5,0,0.000147,0.000147,14,0,0.00329,1,55
188097,188097,,123,860,3,0.551935,0.607011,2.700158,0.010652,0.010652,3,0,0.221492,0.965081,7241
204527,204527,,441,2303828,2,0.842924,0.906827,26.566301,0.042665,0.042665,21,0,0.885124,0.932632,90484
211866,211866,,157,157,3,0.58217,0.643604,0,0.014967,0.014967,3,0,0.310748,1,12246
178959,178959,,484,4277893,3,0.90183,0.946187,23.469506,0.04697,0.04697,21,0,0.974436,0.934415,109220
204528,204528,,493,6556264,2,0.91709,0.954797,29.61007,0.047596,0.047596,21,0,0.987462,0.924504,112122
160667,160667,,423,2103623,3,0.818731,0.889914,6.625872,0.04186,0.04186,21,0,0.868203,0.97488,87011
178929,178929,,498,4638787,2,0.924915,0.95941,42.82296,0.047721,0.047721,3,0,0.99018,0.911032,112743
204359,204359,,503,5404649,2,0.932874,0.964022,52.652888,0.047956,0.047956,21,0,0.99511,0.901911,113869
74156,74156,,473,2708845,3,0.885621,0.936039,37.169391,0.045483,0.045483,3,0,0.943763,0.919724,102667
178930,178930,,394,1240418,3,0.78437,0.863161,4.319489,0.038898,0.038898,22,0,0.806707,0.981891,76019
74158,74158,,315,1282078,3,0.694872,0.787208,5.573612,0.031095,0.031095,3,0,0.645024,0.968577,47901
74159,74159,,409,1685020,2,0.802963,0.877306,21.642899,0.039565,0.039565,3,0,0.82105,0.940529,78474
74160,74160,,469,2684028,3,0.87987,0.932349,111.043379,0.045227,0.045227,3,0,0.938415,0.924617,101473
74161,74161,,374,2197630,3,0.762307,0.844711,19.477847,0.036003,0.036003,3,0,0.747202,0.940718,65616
191923,191923,,495,5888713,3,0.918644,0.956335,57.663656,0.047245,0.047245,3,0,0.980368,0.904674,110610
204361,204361,,456,1695595,2,0.863057,0.920664,26.278288,0.044229,0.044229,21,0,0.917557,0.936216,97123
204532,204532,,493,6857559,2,0.91709,0.954797,29.61007,0.047596,0.047596,21,0,0.987462,0.924504,112122
